Measure,Port Name,Year of Date,Value
Bus Passengers,Santa Teresa,2023,5799
Bus Passengers,San Ysidro,2023,215387
Bus Passengers,San Luis,2023,73
Bus Passengers,Roma,2023,4914
Bus Passengers,Presidio,2023,1373
Bus Passengers,Nogales,2023,128084
Bus Passengers,Lukeville,2023,2170
Bus Passengers,Laredo,2023,579516
Bus Passengers,Hidalgo,2023,505304
Bus Passengers,El Paso,2023,242316
Bus Passengers,Eagle Pass,2023,113116
Bus Passengers,Douglas,2023,3318
Bus Passengers,Columbus,2023,6129
Bus Passengers,Calexico East,2023,2034
Bus Passengers,Brownsville,2023,41597
Bus Passengers,Santa Teresa,2022,5783
Bus Passengers,San Ysidro,2022,228064
Bus Passengers,San Luis,2022,93
Bus Passengers,Roma,2022,2853
Bus Passengers,Presidio,2022,1762
Bus Passengers,Nogales,2022,225346
Bus Passengers,Lukeville,2022,3233
Bus Passengers,Laredo,2022,754465
Bus Passengers,Hidalgo,2022,205623
Bus Passengers,El Paso,2022,213830
Bus Passengers,Eagle Pass,2022,142578
Bus Passengers,Douglas,2022,1552
Bus Passengers,Columbus,2022,1911
Bus Passengers,Calexico East,2022,2844
Bus Passengers,Calexico,2022,303
Bus Passengers,Brownsville,2022,31458
Bus Passengers,Sasabe,2021,2175
Bus Passengers,Santa Teresa,2021,1078
Bus Passengers,San Ysidro,2021,88844
Bus Passengers,San Luis,2021,31
Bus Passengers,Roma,2021,1537
Bus Passengers,Rio Grande City,2021,12613
Bus Passengers,Presidio,2021,1871
Bus Passengers,Otay Mesa,2021,11231
Bus Passengers,Nogales,2021,169391
Bus Passengers,Lukeville,2021,4400
Bus Passengers,Laredo,2021,669253
Bus Passengers,Hidalgo,2021,117147
Bus Passengers,El Paso,2021,143871
Bus Passengers,Eagle Pass,2021,102195
Bus Passengers,Douglas,2021,164
Bus Passengers,Calexico East,2021,384
Bus Passengers,Brownsville,2021,23683
Bus Passengers,Santa Teresa,2020,226
Bus Passengers,San Ysidro,2020,67466
Bus Passengers,San Luis,2020,35
Bus Passengers,Roma,2020,1718
Bus Passengers,Presidio,2020,1145
Bus Passengers,Otay Mesa,2020,8300
Bus Passengers,Nogales,2020,74382
Bus Passengers,Naco,2020,86
Bus Passengers,Lukeville,2020,3373
Bus Passengers,Laredo,2020,523903
Bus Passengers,Hidalgo,2020,100988
Bus Passengers,El Paso,2020,127003
Bus Passengers,Eagle Pass,2020,50358
Bus Passengers,Douglas,2020,2293
Bus Passengers,Columbus,2020,1417
Bus Passengers,Calexico East,2020,9920
Bus Passengers,Brownsville,2020,19773
Bus Passengers,Santa Teresa,2019,2048
Bus Passengers,San Ysidro,2019,79960
Bus Passengers,San Luis,2019,82
Bus Passengers,Roma,2019,8759
Bus Passengers,Presidio,2019,2537
Bus Passengers,Otay Mesa,2019,11031
Bus Passengers,Nogales,2019,207487
Bus Passengers,Naco,2019,22
Bus Passengers,Lukeville,2019,3631
Bus Passengers,Laredo,2019,1016437
Bus Passengers,Hidalgo,2019,276103
Bus Passengers,El Paso,2019,308329
Bus Passengers,Eagle Pass,2019,78918
Bus Passengers,Douglas,2019,16174
Bus Passengers,Del Rio,2019,34
Bus Passengers,Columbus,2019,16463
Bus Passengers,Calexico East,2019,78127
Bus Passengers,Brownsville,2019,47189
Bus Passengers,Santa Teresa,2018,2270
Bus Passengers,San Ysidro,2018,53634
Bus Passengers,San Luis,2018,169
Bus Passengers,Roma,2018,7909
Bus Passengers,Presidio,2018,2071
Bus Passengers,Otay Mesa,2018,42389
Bus Passengers,Nogales,2018,194827
Bus Passengers,Naco,2018,675
Bus Passengers,Lukeville,2018,2874
Bus Passengers,Laredo,2018,816696
Bus Passengers,Hidalgo,2018,263682
Bus Passengers,El Paso,2018,195808
Bus Passengers,Eagle Pass,2018,62010
Bus Passengers,Douglas,2018,25339
Bus Passengers,Columbus,2018,17090
Bus Passengers,Calexico East,2018,104080
Bus Passengers,Brownsville,2018,46609
Bus Passengers,Tecate,2017,39
Bus Passengers,Santa Teresa,2017,2710
Bus Passengers,San Ysidro,2017,61822
Bus Passengers,San Luis,2017,228
Bus Passengers,Roma,2017,8509
Bus Passengers,Presidio,2017,5727
Bus Passengers,Otay Mesa,2017,47117
Bus Passengers,Nogales,2017,191750
Bus Passengers,Naco,2017,504
Bus Passengers,Lukeville,2017,2607
Bus Passengers,Laredo,2017,728177
Bus Passengers,Hidalgo,2017,249524
Bus Passengers,El Paso,2017,193419
Bus Passengers,Eagle Pass,2017,37790
Bus Passengers,Douglas,2017,25896
Bus Passengers,Columbus,2017,16955
Bus Passengers,Calexico East,2017,115600
Bus Passengers,Brownsville,2017,43733
Bus Passengers,Tornillo,2016,0
Bus Passengers,Tecate,2016,2068
Bus Passengers,Sasabe,2016,0
Bus Passengers,Santa Teresa,2016,1203
Bus Passengers,San Ysidro,2016,241875
Bus Passengers,San Luis,2016,259
Bus Passengers,Roma,2016,7996
Bus Passengers,Rio Grande City,2016,0
Bus Passengers,Progreso,2016,0
Bus Passengers,Presidio,2016,6163
Bus Passengers,Otay Mesa,2016,57058
Bus Passengers,Nogales,2016,186719
Bus Passengers,Naco,2016,156
Bus Passengers,Lukeville,2016,2724
Bus Passengers,Laredo,2016,1039605
Bus Passengers,Hidalgo,2016,288020
Bus Passengers,El Paso,2016,199819
Bus Passengers,Eagle Pass,2016,25574
Bus Passengers,Douglas,2016,30029
Bus Passengers,Del Rio,2016,0
Bus Passengers,Columbus,2016,17512
Bus Passengers,Calexico East,2016,116240
Bus Passengers,Calexico,2016,0
Bus Passengers,Brownsville,2016,46395
Bus Passengers,Boquillas,2016,0
Bus Passengers,Andrade,2016,0
Bus Passengers,Tornillo,2015,0
Bus Passengers,Tecate,2015,4306
Bus Passengers,Sasabe,2015,0
Bus Passengers,Santa Teresa,2015,1521
Bus Passengers,San Ysidro,2015,440033
Bus Passengers,San Luis,2015,70
Bus Passengers,Roma,2015,9165
Bus Passengers,Rio Grande City,2015,0
Bus Passengers,Progreso,2015,0
Bus Passengers,Presidio,2015,10451
Bus Passengers,Otay Mesa,2015,138590
Bus Passengers,Nogales,2015,173425
Bus Passengers,Naco,2015,140
Bus Passengers,Lukeville,2015,2668
Bus Passengers,Laredo,2015,977305
Bus Passengers,Hidalgo,2015,301160
Bus Passengers,El Paso,2015,266168
Bus Passengers,Eagle Pass,2015,23748
Bus Passengers,Douglas,2015,19282
Bus Passengers,Del Rio,2015,0
Bus Passengers,Columbus,2015,14576
Bus Passengers,Calexico East,2015,122873
Bus Passengers,Calexico,2015,0
Bus Passengers,Brownsville,2015,48583
Bus Passengers,Boquillas,2015,0
Bus Passengers,Andrade,2015,0
Bus Passengers,Tornillo,2014,0
Bus Passengers,Tecate,2014,5456
Bus Passengers,Sasabe,2014,0
Bus Passengers,Santa Teresa,2014,1760
Bus Passengers,San Ysidro,2014,491058
Bus Passengers,San Luis,2014,36
Bus Passengers,Roma,2014,9647
Bus Passengers,Rio Grande City,2014,0
Bus Passengers,Progreso,2014,0
Bus Passengers,Presidio,2014,10160
Bus Passengers,Otay Mesa,2014,186898
Bus Passengers,Nogales,2014,168768
Bus Passengers,Naco,2014,451
Bus Passengers,Lukeville,2014,2679
Bus Passengers,Laredo,2014,1020567
Bus Passengers,Hidalgo,2014,349417
Bus Passengers,El Paso,2014,313684
Bus Passengers,Eagle Pass,2014,26682
Bus Passengers,Douglas,2014,13442
Bus Passengers,Del Rio,2014,0
Bus Passengers,Columbus,2014,17297
Bus Passengers,Calexico East,2014,111400
